Sentence	Writer_Anger
少し前から毎日のようにつきまとわれている。姿が見えない日もあって油断してるときっちり現れて、最近では睡眠妨害までしてくる…もういい加減にしてほしい!!!	2
腰痛の話。寝てもさめても腰痛い。痛みよ、去れ!イたとん!!	0
メルヘンに憧れがち。現実を生きなければな。てか早く寝たい(>_<)!	0
今週も終わった!そして今から休みだ!明日は祝日か〜何しよどこいこ!	0
寒いなぁ〜鍋いこかな〜	0
おなかすいた…orz	0
高校生みてると、笑顔可愛いな〜とかなんかニヤけてしまう。失われた青春を取り戻すようにかぶりつく私。祝日の風景。	0
ハンバーグ食べたい!同志求ム!	0
本が好きだ。いや、立ち読み、流し読み、本に囲まれているのが好きだ。standardbookstoreが近所にあったら、住むかもしれない。	0
ノーベル賞山中さんに興味津々。朝からいろんな番組を見ているけど、まず目につくのはユーモアたっぷりでにこやかに話す奥さん。会見ではまじめな印象が強かったけど、きっとご本人もユーモア溢れる方なのだろう。二人がどんな風に愛を育んできたのかが気になる。	0
恥ずかしくない仕事をしよう。心からそう思います。	0
西田辺は雷雨!!	0
調子よくしゃべった翌日はたいてい凹む。そろそろキャラ統一すべきかなぁ。	0
この性格の悪さを何とかしたい…	0
ほぼ毎日、パックのジュースをコンビニで買います。今日、袋の中にはジュースと割り箸が入ってました。眠かったんかな。	0
お客さんが切れない。ありがたいけどお腹すいた…ラスト一人がんばる!!	0
世の迷える女子に告ぐ。ニーハイの威力は、想像以上だ。	0
結局、わがままなんだな。己の幼さが歯がゆい。	1
観たい映画。新しい靴を買わなくちゃ、終の信託。メモ…	0
食材はその日食べる分しか買わないので、休日は出かけるまでほとんど食べられないことになる。でもこの胃と腸がが空になってく感じが好きだったりする。体が少し浄化されたような？アブナイ人ではないですよ。多分	0
同年代の女子が何を考え、どのように暮らしているか気になる。同い年と聞けばなおさら。最近気になる人。峰なゆかという女（ひと）…	0
たまたまイラストを目にすることが何度かあり、面白いな〜と思っていたら最近インタビュー記事を読み、別口で気になってた著作の作者でありイラストの主だと発覚しびっくり。同い年と知りまた興味津々。とそこへきて知人の、Rtで峰さんのアカウントを知る。これは運命なのだと勝手に思っています。	0
田中里奈、たなかりな、ティーナカリーナ…	0
キョンキョンのアレ見逃すとこだった！あっぶね！ワンセグよありがとう！	0
さ、さむい…	0
今日は頑張った…ただいま我が家。散らかってるのももはや愛おしい。…でも片づけよ。	0
何気なく入ったDVDコーナーで流れていたONE PIECEに目を奪われる。これちょうどあかんとこやん！医者を！医者を教えでぐたざい゛!!	0
何だかサイコパスって言葉を最近よく目にする。流行ってるのかね？「悪の教典 」面白そう。	0
やな季節が来たなぁ…	0
雨ニモ負ケズ みたいな人になりたいなぁ。	0
憤る。憤る28さい。出家でもしなければこんな感情からは解放されないと思う。	2
旅に出たい…	0
今朝起きていきなり柿をガブリとやって、切れた口の端が痛い。ついでに唇全体的に腫れてる。カブレたか…柿が好きすぎる。	0
職場でお寿司連れてってもらってお腹パンパン！デザートまで出してもらって大満足。苦しくなるほど食べられるなんて幸せじゃないか。	0
住む家がある、職がある、ちゃんと靴を履いて、毎日食べられる。離れていても家族や友達がいる。なんだ、必要なものは十分にあるじゃないか。	0
世の迷える男子に告ぐ。寝不足かつ空腹の女子に近づくとロクなことがないぞ！てことでたらふく食べたしふやけたし寝ます。おやすみなさい。	0
ホームパーティー楽しすぎてお泊まりした帰り道。祭りのあとはいつも寂しい	0
天気いいなーって歩いてたらスニーカーやさんからバービーボーイズ。シュール。	0
噂の壇蜜さんのブログが何となく面白い。	0
めっちゃ丁度いい光が部屋の窓から差し込む。こうして絵でも描いて暮らしたい。	0
今最も胸をはだけさせられベッドやソファに寝転がらされる男、生田斗真。すごいよ生田斗真。てれび戦士だったのに…	0
精神年齢が日に日に下がる気がする28さい。体年齢は日に日に上がる28さい。寝よ…	0
2012年下半期は様々なお一人様に挑戦しています。串カツは楽勝!!おやすみなさい	0
悲しくても辛くても、日々を生きなきゃいけなくて、そうしてうやむやにしながら生きていくんだなぁ。	0
休み前の晩にパジャマにメガネでてんこ盛りのご飯やいろんなおやつを食べながらテレビ見たりネットしたり、そうして時間に関わらず眠くなったらそのまま寝るのが最高に幸せ	0
こうやってデブになっていくのかなぁ。	0
普段から地味なのだが、休日の私はほんとに地味である。更に今日は輪をかけて、もう誰かを不快にしてしまうんじゃないかって程の地味さ。知り合いに会ったら怪しまれはしても気付かれないだろうな。	0
友達がハワイで挙式して、森で撮った写真がすごく素敵で羨ましかった。長い髪はゆる巻きダウンにして、お花の冠とベールをつけてるかんじ。木漏れ日を見上げる姿が可愛かったなぁ。	0
今日また、ふらりと入れる店が増えた。お酒もご飯も美味しかったし、何より、何となく温かい店だった。	0
昨日は誰にも会うまいと思ってたのに、帰り道にうっかり馴染みの店に行ってしまった。顔見知りがそばで飲んでいたが、案の定私には気づいていなかった。気配を消すのが得意になったもんだ	0
ハモネプ好き。	0
To be continuedの人、最近キモい人の役多いな…	0
アットホームダッドやってる！めっちゃ見たいけど寝る。連休なんて…	0
寒いってことに支配されて建設的な思考が奪われるから、冬は嫌い。	1
100をゼロにするのは無理ですが、 20くらいにはできます。50くらいのものなら、もうそれはゼロと同じです。	0
なにいってんだか…	0
まさかのアッコとコラボ!でもカッコいいぜアッコ!!	0
ドラムのひとちゃんと正装してる！と思ったらやっぱり短パン!!笑	0
水樹奈々っていくつなんやろ？AKBに混ざってもわからなそうな衣装にヘアメイク。	0
似すぎ…笑	0
はたと気づけば、生まれてこのかた新幹線に乗ったのは多分一度だけ。新幹線の駅めずらしー！新大阪駅探検、なう。	0
「悪の教典」観てきた。体温と心拍の異常いまだやまず…握りしめすぎて手がしびれてる。	1
好きな少年漫画をきかれて、「定番ですけどONE PIECEですかねぇ」と無難に答えてしまう私は臆病者です。趣味が片寄りすぎて公言できないんだ！	0
とにかく暖まらないと話にならないので、ご飯作ります！久しぶり！	0
の、前に、柿をガブガブ食べてやった！	0
久しぶり酔っておっきい声出したので喉いたい!!のど飴を下さい！水割りをください！もう寝ます…オヤスミナサイ…	0
あぁあ〜小朝師匠！自慢の金髪が！金髪がぁ…！	0
ホットカーペットに寝っ転がってうとうとするのサイコー。	0
ん？ONE PIECEの歌がなんかヘン。	0
久しぶりにヤツが来た。ちきしょう、油断してた…コルセット生活、再開!!(T_T)	1
ぼくらの思春期を支えたHEY!HEY!HEY!が最終回だよ！懐かしいな〜	1
あと30秒で、HEY!HEY!HEY!が、終わる！	1
終わった…音楽は終わらない、その通りだ！君がッ！泣くまで！音楽を愛すのを、辞めない…！	0
はんばーぐたべたい。	0
今日初めてアスリートみたいに腰に注射したんだけど、なかなか痛くて打つまえより痛くなったんだけど大丈夫なんだろーか	1
28歳にして初めて、ガードルなるものを穿きました。すごいなこれ！なんで今まで穿かなかったんだろ。もう、毎日穿きたい。	0
すき焼き食べたい。祝日やし、どこも混んでるんだろうか…	0
焼き肉いきたい。	0
オムライスでもいいなぁ〜♪	0
美容室でも行くかな。	0
後藤の泳げたい焼きくん…ジャズってかブルースぽいような…	0
忙しくて体痛いし眠いしゲームする余裕がない	0
カレーパン食べてりんごガブガブかじる午前二時。あと二日頑張る。オヤスミナサイ…	0
仕事納め!がんばろ！	0
よっしゃ〜終わった！お腹すいた〜！	0
帰省の車内で可愛コちゃんに声をかけられた。「お隣いいですかぁ(^▽^)？」かっ可愛い！是非座ってほしかったけれど、先客がいたので断念。うぅ、無念…。 あ、明けましておめでとうございます☆こんな感じで本年もぬるっと行きますのでよろしくお願い致します。	1
りあるキッズのメガネ久々に見た！前々からきづいてはいたけど、ますますあかん感じに…	0
実家の母は、普段話し相手がいないのか、たまに帰るとむちゃくちゃ喋ってくる。今回、風邪気味で無口だったので、静かな正月となった。二泊三日の最終日、私を送り出す駅のホームで急に喋りだした。え、今？ どうやら風邪は治ったようです。	0
凧上げのたこが電線に巻き付いて電車とまる。正月っぽいね〜	0
何かもうキャラが迷走しすぎてきたので、まずはめちゃくちゃ普通の人、やります。頑張って美容師ぶるの、休憩。まぁ元々ぽくないけど…	0
ぐさりと刺さっても、笑ってスルーするー。でもやっぱり気にして髪形変えたりする。	1
休み明けに「雰囲気変わったな!」てなるの好き。明日からまた頑張ります!!オヤスミナサイ	0
知り合い見つけて道の反対側から 叫んだら思いの外響いた。私もこんなデカイ声が出るのか… てか、は、はずい。	0
今年初稽古。一時間前からいく気満々だったのに、五分前からめっちゃめんどくなってきた。	0
動物も子供も普通に好きですが、わぁー！って寄っていくのには抵抗があるのです。外から見ててうらやましくて一人でドッグカフェ入ったことあるけど、まっったく盛り上がらんかった。当たり前か…	0
20代まで平均睡眠時間が四時間以下で過ごすと早死にするらしいので、もう寝ます。オヤスミナサイ	0
今日か明日、えべっさん行きたいな〜	0
無印の焦がしキャラメルってお菓子がおいしすぎる。	0
えべっさん行きたい行きたい！いやほんまはそうでもないんやけど、せっかくやし…	0
コクリコ坂みて、失ったものが多いことに気づくわんわんの日。てか、金田一始まるんや！つよし君ver.見返したくなってきた！	0
うまいやん！spa王のフェットチーネうまいやん！泣けるやん！	0
いやはや恥かいた〜。桃鉄も、スパ王も、なんにも知らんな私は。今日わかったことは、腰がいたくないと楽しいってことかな！オヤスミナサイ…	0
へー中山功太改名したんやぁ〜 ってうわ！うわうわ！人相変わりすぎやろ！髪形…と、顔…	0
すんごい雨…新成人の皆さんおめでとうございます。そして御苦労様…てか福くん可愛いな〜@いいとも	0
掃除してやるぜ！	0
うし！でかける！その勢いでご飯食べる！夜ごはん仲間募集〜！	0
ミナミで焼き肉か…帰ってから考えるか…	0
ひょう！激しいひょう！	0
不本意なことってほんまにあるなぁ。原因は自分にあるんだから日々まっとうに生きるしかないね。頑張ります。	1
誰かからの言葉をまっすぐ聞ける素直さと謙虚さ。あとは、それでも自分はこうなんだと言える強さが必要。	0
マッサージいけばよかった…orz	0
眠くて死にそう。でも今日は長居にいくんだ！牡蠣をたべるんだ！そして歌うんだ！皆様のご参加を、一時間後、お待ちしております。	0
んっ！？何かおもろそうなテレビ始まった！ドラマ？	0
 はっ！こんな時間。でも慌てて眠らなくていいんだ！コロッケ食べてやる！	0
"友達がいないと思われたくないからトイレでご飯を食べ、人を雇ってクラブに行く。そうやって""一般的な人""を装うことで、誰かに声をかけてもらえるチャンスを潰さないようにしてるのかな…と、思い直した。"	0
やばい、また自堕落な休みを満喫してしまいそうだ。今日は役所にいくんだ！がんばれ！大人への新しい一歩だ！	0
結構ギリギリで役所につき、急いでね〜、とフロアを右往左往させられ、5分前に終業のチャイムが鳴った。物凄い勢いで人の波が通りすぎていく。すげぇ	0
西島秀俊、未婚やった。どうしよう、一刻も早くエステにいかねば！！	0
【お詫び】お聞き苦しい発言があったことを、お詫びいたします。	0
今週から観たい映画がめじろ押し。ted、ライフオブパイ、つやのよる、ストロベリーナイト… 話題のレ・ミゼラブルも観たいし、２月公開のもいくつか気になるし…休みが足りないな。	0
西島秀俊、でググったら出てくるタレント名鑑の写真が素敵すぎて、Majiで奇行に走る5秒前。	0
みんな！最高の離婚が始まったぞ！	0
久々に自炊した。以前はワンプレートで済ませていたけど、品数を多く食べたいので明日も3食賄えるくらい色々作った。が、ほとんど平らげてしまった… あったらあるだけ食べちゃうんだよね…	0
ほんとにお腹パンパン…	0
でもおしるこ食べる…	0
毎日毎日飽きもせず、己の未熟さにへこむ。でも当たり前じゃないか！人生まだ半分も来てないんだから！ そう思ってがんばります。100まで生きてやる!!	1
みんな！目覚ましテレビを見るんだ！朝からいいものみた♡	0
朝からかっこいー！いや、可愛いぜ菊田〜！	0
胃腸かぜって、辛いですよ。ぜひともお気をつけください。	0
薬のんで暫くしてから戻した場合、もう一度飲んだ方がいいのかなぁ…	0
お薬の情報をくださった皆さん ありがとうございました。モーローとしていたので、結局飲んだのか飲んでないのか分かりませんが…	0
お腹いたい…	1
寝込むたび、死について考える私は大袈裟でしょうか	0
【速報】飲むものがなくなったので、りんご酢を飲んでいます。健康的だね！	0
速報】飲み物が5.5L届きました。明後日くらいまで飲むものには困らなそうです笑 ありがとう。	0
ネットとられたら多分発狂する。そうでなくなりたいものです。	0
仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。	0
ここ数日、精進料理みたいなものしか食べてないので、串カツとか、ラザニアとか、ハンバーグとか食べたい。でも多分、カフェラテを飲んだだけでごろごろしてしまう今の私のおなかさんは彼らを拒否するだろう…	0
あ、お寿司もいいなぁ。(生ものか…)	0
部屋の暖房が全然効かなくて寒い。28℃に設定してるのに…省エネの夏か。	1
OGG,KBB おなかゴロゴロ、顔ぶっつぶつ。	0
「ツレがうつになりまして」終わった。目がいたい。	0
誰か、明日の夜、焼き肉いこう。おなか治ってたら…	0
人にご馳走するのが苦手です。コーヒーもスマートにおごれない29歳…	0
友達とランチもいいけど、近かったらモーニングもいいなぁ。まったり過ごしてもまだ日が高いし色々できる。	0
決めました。今年は、車の免許とります。あと、台湾行きます。	0
そういや昨日の夢にマキダイ出てきた。途中で起きたから続き見たかったけど見れんかった…でも練習したらいけそうな気がする。	0
がんばれ！	0
もう二度と戻れはしないとわかってても、昔叶わなかった恋の面影はいつまでも追ってしまう。そんな自分にとても人間味を感じる。寝よ。	0
おなかぱんぱん病	0
久しぶりに笑いながら帰ってきた。大好きな友達とご飯を食べるって、この上ない幸せ。	0
誰か鍋食べにいこお〜または鍋に呼んでください！味噌鍋とかチゲとか濃い〜のん食べたい！あ、カレー鍋でも可… 笑	0
今週の、土、日、月、火のどれかで、19時くらいから暇なひといないかなぁ〜…車でニトリ行って送ってくれるひと…	0
月曜か火曜の昼間、IKEAにもいきたい…	0
最近、バターの代わりにパンにクリームチーズを塗って食べるのにはまっています。先程、今日頂いた「チョコ食パン」を美味しくいただいていたのところ、途中でつい魔がさしてクリームチーズを…。が！う、うまい！甘さと酸っぱさの攻防戦！ヤバイ、また一つ、あほ食いおやつが増えてしまった…	0
明日も明後日も、いい日でありますよーに。	0
最近、携帯でドラマをみるのにはまりすぎて寝不足です。某レンタル屋で多額の延滞金払ったあれも、これも、全部あるじゃないか!スマホとテレビをつなぐケーブル欲しい。てか、その前にテレビ買わなな…	1
苦労して育ててくれた親はもちろんのこと、親しくしていた周りの人間も、無力感や罪悪感にさいなまれることになる。	1
映画「ストロベリーナイト」観た。あかーん！あれはあかーん！大沢たかお渋すぎる。彼は私が最近提唱している「男は経年変化」を、今最も体現している人だと思う。	1
【失われた青春川柳】ラブレター 顔も見ないで押し付けて スカートひらり、バタバタバタ	0
アラーム、サイレントモードでも鳴ってよ…歯医者寝過ごしたorz	1
朝からの出来事と雨で全く行く気がしないのでお稽古は休んだ。先生にしたらなんとふざけた生徒だろう。せめてもの償いに、普段しないことをしてやろうと思います。	0
結局昨日はジムで汗を流し、そのまま飲みに行き、カラオケで暴れ、精も根も尽き果てて眠りに落ちた。喉がいたい…	0
しかし昨日のカラオケは気持ちよく歌えた。ちょっと練習しよ。オヤスミナサイ…	0
今日、とある会合に参加した。ら、緊張と楽しさで飲みすぎた。なんの役割も果たせなかったことを悔いながら、寝ます…オヤスミナサイ	0
念願の「アラサーちゃん」読了。三角座りで一人、「あははっ」と声を出して笑ったりしながら一気読み。なんしか切り口が面白い。あるある〜とか思いつつ、なるほどそんな見方が！と開眼させられたり。もしかしたら嫌悪を示す男子もいるかもとか思ったりしたけど、さら〜っと皆読んでほしいなぁ。	0
夜中から出掛けようと思って、一から化粧したのに結局出掛けずにそのまま寝てしまった。起きたら顔ぱんっぱんですごい寝癖やのに、眉とチークだけバッチリ決まってるから凄く滑稽。	0
久々真面目にお稽古に行こうと思ったら、道具が根こそぎない。久々でそれはダメだろ〜っと躍起になってさがしてみたが、ない。気づけばもう30分遅刻している。ほんっと、どーしょーもねーなぁ。	1
ハイ、反省ターイム。日々、反省材料が多くてへこむ。でも80まで生きるとして、まだ半分も来てないんだから当たり前じゃないか！と、思い直して明日も強く生きます。	0
あれ？これ前にも言ったかな？	0
お店やっても、家族は養えない。今ここにある現実。	1
最高の離婚、ついに桑田さん登場！笑 毎回エンディングが見逃せないぜ	0
寝ても寝ても眠いぜちきしょう！	1
眠くなった時に寝かせてくれよ!!やる気なんて出ねぇよ!!	2
どこもかしこも明るいなぁ。この街は俺には眩しすぎるんだ…	0
眠すぎて傘持つのもダルくて上着のポケットに引っ掛けてズルズル〜って目ぇつむって歩いたけど、みっともないからやめなさいなんて言わないでほしい。寝ます。オヤスミナサイ…	0
お腹いたくて起きた午前３時、の雰囲気の午前０時半。そしてまた寝る	0
30分うたた寝したつもりの午前３時半。まさかここで帳尻が合うとは。寝よ。	0
今日もアジアの屋台のような個性的な夕飯を食べた。食べ過ぎた。明日も頑張るぜ。オヤスミナサイ	0
小栗旬に手をつながれたところで目覚まし。くぅ〜	1
好きな曲をカラオケで歌うときは、歌詞にないところほどしっかり歌いたい。でもハズイから歌わない。でも二人とかだったら歌う。	0
「ハァ…」♪白いため息で〜曇ったまぁどににーじむ、イールーミーネイションっ♪	0
人生を楽しむ練習をしています。	0
こないだカラオケでGLAYのWinter,againを熱唱したら、最後の方の「鐘の音↑がぁ↑聞こえるぅ〜」のあとのコーラス？をすかさず入れてきたので驚いた。その瞬間、その人は私の中でカラオケ友達にカテゴライズされた。	0
絶妙なハモりをのせてきたり、本人の歌がうまいだけでなく、気持ちよく歌わせてくれる、聴かせてくれる、そんな人は迷わずカラオケ友達に任命です。	0
二日酔いです。すごく具合が悪いし、喉が痛い。声がでない。今日は五時からカラオケバトルなのに…	0
花粉症デビューしました。アルコールで顔が赤いのかと思ったら、目をこすりすぎて腫れ上がっている模様	0
昨日遊びすぎたので雑用をこなしまくっています。暖かいので徒歩移動。夕陽が目に染みるぜ。センチメンタルジャーニー♪	0
寝る頃になると、目と鼻がムズムズ…目を閉じてもゴロゴロ… ちきしょう、また、私の睡眠を邪魔する輩が増えたと見える…	1
いつもの店ではよくやることだけど、のっぴきならない状況により、よその店で初めて、小銭だけのお会計で帰った。は、ハズイ！この感覚を忘れないようにしよう。	1
何の気なしにみた、映画「監獄めし」。泣かすやん。でもこの時間に濃い〜ご飯食べたくなる。	0
横殴りの雨が微妙にかかるのにも耐えて浸っていたら、小鳥が集まってきた。私は神の子なのかもしれない	0
今からカラオケいけるひと、21時に天王寺ジャンカラ集合！	0
二宮君の真似して「プラチナデータ。」って言うのにはまっています。映画はまだ観てないけど。キコちゃん出てるし観たいな〜	0
こないだのツィート、監獄ではなく極道でした。訂正してお詫びいたします。	0
ゆうべは遅くまで飲んで知らぬ間に寝てしまい、起きたら鼻がずるずる。歯医者に行ったら思いの外悪かったらしく麻酔されて半顔麻痺。さっきからくしゃみも止まらない。今日は初のインデアンカレーの予定だったけど、全くやる気がなくなった。	0
ご飯は、ガッツリおかずを作ってくれればうまいうまいと食べますし、アイドルに熱を上げてもへぇ〜(^^)と笑ってられますし、もう少し稼げるようになったら、誰か嫁に来てくれるかなぁ？	0
就活用に撮ったぶりに証明写真を撮ったら、自分の顔の歪みっぷりに愕然としたので、左側で噛むことにします。	0
お洒落人達はこれをこんふぃちゅーると云うのですね。good night〜♪	0
何年ぶり、いやもしかして初めて？ほっぺに吹き出が。噂のニベア美容、やってみようかな…	0
毎度おなじみ後輩指導。またもきつい言い方をしてしまい、へこむなう。ご飯食べよ。	1
夜中の公園でサッカーして、小腹が減ったのでロールキャベツ食べて寝ます。オヤスミナサイzzz	0
ゆずぽんかけてみた。…ハマる。	0
好きだな、素敵だな、って、思う人はたくさんいるのに、付き合うとか付き合わないとか言い出した途端にややこしくなる。ただ好きだとかただそばにいたいとか、それではダメなのかなぁ。自分自身がまず、ややこしいのだけれど。	0
女子は欲望と恋を混同しがちだと言われるけど、そういうことなのかなぁ。歳を重ねるほど、いろいろ難しいねぇ…	0
男女問わず、気を許してる好きな人には、抱きついたり腕を組んだり、そーゆうところでしか愛情表現できないので、それを奪われるとなかなか困る。	0
明日映画いこかな。「舟を編む」めっちゃ観たい。「世界でひとつのプレイブック」今週終わるからいこかな〜♪	0
誰か夜映画いきませんかー？18時過ぎに難波マルイにこれる人！「世界でひとつのプレイブック」観よう〜♪	0
その前にカット行こかな〜♪	0
あー高飛びしたい。	1
今日はクリームバスに全身マッサージに、プチ贅沢した。土日を乗りきるぞ！っしゃーこいコノヤローッ！	0
昨日はよく遊んだ。千本鳥居に挑むため、まずはアイスとコロッケ。そして名物いなり寿司♪お花見屋台でサイコロステーキ、そして湯豆腐に日本酒！いい気分でそぞろ歩き、うどん食べ比べで満腹かと思いきやパンケーキ求めて徘徊、最後はありえない暗さのbarでフィニッシュ。体が重い…笑	0
私も人を批判しがちやわぁ。気を付けよ。	0
どーあがいたって自分からは逃げられないんだよね。ちっ！	1
昼間はほとほと自分が嫌になったのでネガツィートしてしまったけど、多分もっと体を鍛えればどーでもよくなるんだろうな。	0
もうだめだ…私もアラサーちゃん買おう…	0
梅田彩佳可愛いなぁ…！	0
絵、うまいなぁ。	0
今宮高校のダンス部が世界大会で大阪を前面に押し出したパフォーマンスで入賞。の番組見てる。若い純粋な魂が、仲間たちと共通の目標に向かってその命を燃やしてる。そんな姿にほんまに感動する。gleeにはまったんもそうなんやろな…そんな自分に老いを感じずにはいられない。	0
ただいまより、初めての「布団圧縮」に挑戦したいと思います。	0
ふとんをきっちり袋に詰め込み、スイッチON！「うわぁぁーーーー！」「エグい！エグすぎる！」あまりの衝撃に、ボーゼンとしております。	0
あわわ！今最も脂の乗ってる40代、福山と大沢がガリレオで共演している！	0
ふぅ〜とりあえず一段落。今日は朝から久々のお稽古。調子こいて4時間とったらすんごい疲れた…早く寝るつもりが圧縮にハマりこんな時間。死んだように寝ます！オヤスミナサイ	0
ボーッとしてたらコンタクトがもうなかった。前にもらったカラコンがあるので、明後日からは毎日趣の違ったギャルになります。	0
人間、危機的状況に陥った時、一回すごい慌てるけど、慌ててもしょーがないな、って、急にスッ。とするよね。今の私がまさにそう。さて、どうしたもんか…	0
こないだからディファインで瞳が大きくなっているのに加えて、暗めに染めたてでツヤツヤの髪と眉ブリーチが相まって、すっぴんの自分が8才児みたいで可愛い。そうか、可愛いって、こういうことか。	0
TSUTAYAの延滞料2400円。何やってんだろ…	1
きっと、私みたいなだらしないヤツのおかげで儲かってるんだろうな。てか、このままだと私は一生儲かんないんだろうな。	0
ヤバイ。宮沢りえヤバイ。あのCMは、メガネ買お！ってなる！んで赤リップしよ！って、なるやろぉ！	1
う！胸が！胸がいたい…！	0
携帯が壊れて代機生活。いち早くFacebook入れたものの、バタバタでわすれてました。ただいま、Twitter！	0
先日思い知りました。私は少女漫画に毒されているなぁ…と。「ちょ！ばっ！ヤメロヨォ！」とか…リアクションがくどい。笑	0
喉痛い。耳聞こえない。節々いたい…	0
熱い風呂に入り、スウェットを着込み、ヴィックスヴェポラップを鼻と喉にベタベタに塗り込み、タオルとマスクで保湿！枕元には濡れタオルとポカリ2Lで完全武装。なかなか男前な感じで、寝るっ！	0
さ、さ、さむい…！	1
うわさのテラフォーマー、めっちゃ面白そうなんだが絶対見たくない。でも読みたい	0
痛みよ、去れ！いたとん！	0
暑い…寒い…暑い…	0
